unique-id,title,authors,doi,pmid,eissn,issn,advanced_online_year,year,month,journal,number,volume,pages
WOS:000282599700029,Resolving lineage assignation on Mycobacterium tuberculosis clinical isolates classified by spoligotyping with a new high-throughput 3R SNPs based method,"Abadia,Edgar|Zhang,Jian|dos Vultos,Tiago|Ritacco,Viviana|Kremer,Kristin|Aktas,Elif|Matsumoto,Tomoshige|Refregier,Guislaine|van Soolingen,Dick|Gicquel,Brigitte|Sola,Christophe",10.1016/j.meegid.2010.07.006,20624486,1567-7257,1567-1348,,2010,October,INFECTION GENETICS AND EVOLUTION,7,10,1066-1074
WOS:000351841900013,A CRISPR/Cas9 Vector System for Tissue-Specific Gene Disruption in Zebrafish,"Ablain,Julien|Durand,Ellen M.|Yang,Song|Zhou,Yi|Zon,Leonard I.",10.1016/j.devcel.2015.01.032,25752963,1878-1551,1534-5807,,2015,March,DEVELOPMENTAL CELL,6,32,756-764
WOS:000381560900032,C2c2 is a single-component programmable RNA-guided RNA-targeting CRISPR effector,"Abudayyeh,Omar O.|Gootenberg,Jonathan S.|Konermann,Silvana|Joung,Julia|Slaymaker,Ian M.|Cox,David B. T.|Shmakov,Sergey|Makarova,Kira S.|Semenova,Ekaterina|Minakhin,Leonid|Severinov,Konstantin|Regev,Aviv|Lander,Eric S.|Koonin,Eugene V.|Zhang,Feng",10.1126/science.aaf5573,27256883,1095-9203,0036-8075,,2016,August,SCIENCE,6299,353,
WOS:000412829500053,RNA targeting with CRISPR-Cas13,"Abudayyeh,Omar O.|Gootenberg,Jonathan S.|Essletzbichler,Patrick|Han,Shuo|Joung,Julia|Belanto,Joseph J.|Verdine,Vanessa|Cox,David B. T.|Kellner,Max J.|Regev,Aviv|Lander,Eric S.|Voytas,Daniel F.|Ting,Alice Y.|Zhang,Feng",10.1038/nature24049,28976959,1476-4687,0028-0836,,2017,October,NATURE,7675,550,280+
WOS:000393114700023,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response,"Adamson,Britt|Norman,Thomas M.|Jost,Marco|Cho,Min Y.|Nunez,James K.|Chen,Yuwen|Villalta,Jacqueline E.|Gilbert,Luke A.|Horlbeck,Max A.|Hein,Marco Y.|Pak,Ryan A.|Gray,Andrew N.|Gross,Carol A.|Dixit,Atray|Parnas,Oren|Regev,Aviv|Weissman,Jonathan S.",10.1016/j.cell.2016.11.048,27984733,1097-4172,0092-8674,,2016,December,CELL,7,167,1867+
WOS:000441115200009,Large deletions induced by Cas9 cleavage,"Adikusuma,Fatwa|Piltz,Sandra|Corbett,Mark A.|Turvey,Michelle|McColl,Shaun R.|Helbig,Karla J.|Beard,Michael R.|Hughes,James|Pomerantz,Richard T.|Thomas,Paul Q.",10.1038/s41586-018-0380-z,30089922,1476-4687,0028-0836,,2018,August,NATURE,7717,560,E8-E9
WOS:000432115300015,The CRISPR tool kit for genome editing and beyond,"Adli,Mazhar",10.1038/s41467-018-04252-2,29765029,,2041-1723,,2018,May,NATURE COMMUNICATIONS,,9,
WOS:000274605900005,Transcription Profile of Thermus thermophilus CRISPR Systems after Phage Infection,"Agari,Yoshihiro|Sakamoto,Keiko|Tamakoshi,Masatada|Oshima,Tairo|Kuramitsu,Seiki|Shinkai,Akeo",10.1016/j.jmb.2009.10.057,19891975,1089-8638,0022-2836,,2010,January,JOURNAL OF MOLECULAR BIOLOGY,2,395,270-281
WOS:000383355900027,Genomic Copy Number Dictates a Gene-Independent Cell Response to CRISPR/Cas9 Targeting,"Aguirre,Andrew J.|Meyers,Robin M.|Weir,Barbara A.|Vazquez,Francisca|Zhang,Cheng-Zhong|Ben-David,Uri|Cook,April|Ha,Gavin|Harrington,William F.|Doshi,Mihir B.|Kost-Alimova,Maria|Gill,Stanley|Xu,Han|Ali,Levi D.|Jiang,Guozhi|Pantel,Sasha|Lee,Yenarae|Goodale,Amy|Cherniack,Andrew D.|Oh,Coyin|Kryukov,Gregory|Cowley,Glenn S.|Garraway,Levi A.|Stegmaier,Kimberly|Roberts,Charles W.|Golub,Todd R.|Meyerson,Matthew|Root,David E.|Tsherniak,Aviad|Hahn,William C.",10.1158/2159-8290.CD-16-0154,27260156,2159-8290,2159-8274,,2016,August,CANCER DISCOVERY,8,6,914-929
WOS:000404714100003,Neural stem cells for disease modeling of Wolman disease and evaluation of therapeutics,"Aguisanda,Francis|Yeh,Charles D.|Chen,Catherine Z.|Li,Rong|Beers,Jeanette|Zou,Jizhong|Thorne,Natasha|Zheng,Wei",10.1186/s13023-017-0670-9,28659158,,1750-1172,,2017,June,ORPHANET JOURNAL OF RARE DISEASES,,12,
WOS:000360646800021,Safeguarding gene drive experiments in the laboratory,"Akbari,Omar S.|Bellen,Hugo J.|Bier,Ethan|Bullock,Simon L.|Burt,Austin|Church,George M.|Cook,Kevin R.|Duchek,Peter|Edwards,Owain R.|Esvelt,Kevin M.|Gantz,Valentino M.|Golic,Kent G.|Gratz,Scott J.|Harrison,Melissa M.|Hayes,Keith R.|James,Anthony A.|Kaufman,Thomas C.|Knoblich,Juergen|Malik,Harmit S.|Matthews,Kathy A.|O'Connor-Giles,Kate M.|Parks,Annette L.|Perrimon,Norbert|Port,Fillip|Russell,Steven|Ueda,Ryu|Wildonger,Jill",10.1126/science.aac7932,26229113,1095-9203,0036-8075,,2015,August,SCIENCE,6251,349,927-929
WOS:000445011500059,In vivo CRISPR editing with no detectable genome-wide off-target mutations,"Akcakaya,Pinar|Bobbin,Maggie L.|Guo,Jimmy A.|Malagon-Lopez,Jose|Clement,Kendell|Garcia,Sara P.|Fellows,Mick D.|Porritt,Michelle J.|Firth,Mike A.|Carreras,Alba|Baccega,Tania|Seeliger,Frank|Bjursell,Mikael|Tsai,Shengdar Q.|Nguyen,Nhu T.|Nitsch,Roberto|Mayr,Lorenz M.|Pinello,Luca|Bohlool-Y,Mohammad|Aryee,Martin J.|Maresca,Marcello|Joung,J. Keith",10.1038/s41586-018-0500-9,30209390,1476-4687,0028-0836,,2018,September,NATURE,7723,561,416+
WOS:000396575500089,Ensembl 2017,"Aken,Bronwen L.|Achuthan,Premanand|Akanni,Wasiu|Amode,M. Ridwan|Bernsdorff,Friederike|Bhai,Jyothish|Billis,Konstantinos|Carvalho-Silva,Denise|Cummins,Carla|Clapham,Peter|Gil,Laurent|Giron,Carlos|Gordon,Leo|Hourlier,Thibaut|Hunt,Sarah E.|Janacek,Sophie H.|Juettemann,Thomas|Keenan,Stephen|Laird,Matthew R.|Lavidas,Ilias|Maurel,Thomas|McLaren,William|Moore,Benjamin|Murphy,Daniel N.|Nag,Rishi|Newman,Victoria|Nuhn,Michael|Ong,Chuang|Parker,Anne|Patricio,Mateus|Riat,Harpreet|Sheppard,Daniel|Sparrow,Helen|Taylor,Kieron|Thormann,Anja|Vullo,Alessandro|Walts,Brandon|Wilder,Steven P.|Zadissa,Amonida|Kostadima,Myrto|Martin,Fergal J.|Muffato,Matthieu|Perry,Emily|Ruffier,Magali|Staines,Daniel M.|Trevanion,Stephen J.|Cunningham,Fiona|Yates,Andrew|Zerbino,Daniel R.|Flicek,Paul",10.1093/nar/gkw1104,27899575,1362-4962,0305-1048,,2017,January,NUCLEIC ACIDS RESEARCH,,45,D635-D642
WOS:000282746700003,Interference with histidyl-tRNA synthetase by a CRISPR spacer sequence as a factor in the evolution of Pelobacter carbinolicus,"Aklujkar,Muktak|Lovley,Derek R.",10.1186/1471-2148-10-230,20667132,,1471-2148,,2010,July,BMC EVOLUTIONARY BIOLOGY,,10,
WOS:000288317600002,Clustered Regularly Interspaced Short Palindromic Repeats (CRISPRs): The Hallmark of an Ingenious Antiviral Defense Mechanism in Prokaryotes,"Al-Attar,Sinan|Westra,Edze R.|van der Oost,John|Brouns,Stan J. J.",10.1515/BC.2011.042,21294681,1437-4315,1431-6730,,2011,April,Biological Chemistry,4,392,277-289
WOS:000426357600014,Cerebral organoids derived from Sandhoff disease-induced pluripotent stem cells exhibit impaired neurodifferentiation,"Allende,Maria L.|Cook,Emily K.|Larman,Bridget C.|Nugent,Adrienne|Brady,Jacqueline M.|Golebiowski,Diane|Sena-Esteves,Miguel|Tifft,Cynthia J.|Proia,Richard L.",10.1194/jlr.M081323,29358305,1539-7262,0022-2275,,2018,March,JOURNAL OF LIPID RESEARCH,3,59,550-563
WOS:000288209600013,Evidence for the cure of HIV infection by CCR5 Delta 32/Delta 32 stem cell transplantation,"Allers,Kristina|Huetter,Gero|Hofmann,Joerg|Loddenkemper,Christoph|Rieger,Kathrin|Thiel,Eckhard|Schneider,Thomas",10.1182/blood-2010-09-309591,21148083,1528-0020,0006-4971,,2011,March,BLOOD,10,117,2791-2799
WOS:000227731000006,Complete genome sequence of the probiotic lactic acid bacterium Lactobacillus acidophilus NCFM,"Altermann,E.|Russell,W.M.|Azcarate-Peril,M.A.|Barrangou,R.|Buck,B.L.|McAuliffe,O.|Souther,N.|Dobson,A.|Duong,T.|Callanan,M.|Lick,S.|Hamrick,A.|Cano,R.|Klaenhammer,T.R.",10.1073/pnas.0409188102,15671160,,0027-8424,,2005,March,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,11,102,3906-3912
WOS:000386341500026,Inheritable Silencing of Endogenous Genes by Hit-and-Run Targeted Epigenetic Editing,"Amabile,Angelo|Migliara,Alessandro|Capasso,Paola|Biffi,Mauro|Cittaro,Davide|Naldini,Luigi|Lombardo,Angelo",10.1016/j.cell.2016.09.006,27662090,1097-4172,0092-8674,,2016,September,CELL,1,167,219+
WOS:000419532200001,RNA virus interference via CRISPR/Cas13a system in plants,"Aman,Rashid|Ali,Zahir|Butt,Haroon|Mahas,Ahmed|Aljedaani,Fatimah|Khan,Muhammad|Ding,Shouwei|Mahfouz,Magdy",10.1186/s13059-017-1381-1,29301551,,1474-760X,,2018,January,GENOME BIOLOGY,,19,
WOS:000280323000001,Presence of a classical RRM-fold palm domain in Thg1-type 3 `-5 ` nucleic acid polymerases and the origin of the GGDEF and CRISPR polymerase domains,"Anantharaman,Vivek|Iyer,Lakshminarayan M.|Aravind,L.",10.1186/1745-6150-5-43,20591188,,1745-6150,,2010,June,BIOLOGY DIRECT,,5,
WOS:000342075800045,Structural basis of PAM-dependent target DNA recognition by the Cas9 endonuclease,"Anders,Carolin|Niewoehner,Ole|Duerst,Alessia|Jinek,Martin",10.1038/nature13579,25079318,1476-4687,0028-0836,,2014,September,NATURE,7519,513,569+
WOS:000372327100012,Structural Plasticity of PAM Recognition by Engineered Variants of the RNA-Guided Endonuclease Cas9,"Anders,Carolin|Bargsten,Katja|Jinek,Martin",10.1016/j.molcel.2016.02.020,26990992,1097-4164,1097-2765,,2016,March,MOLECULAR CELL,6,61,895-902
WOS:000291312500011,Using CRISPRs as a metagenomic tool to identify microbial hosts of a diffuse flow hydrothermal vent viral assemblage,"Anderson,Rika E.|Brazelton,William J.|Baross,John A.",10.1111/j.1574-6941.2011.01090.x,21410492,1574-6941,0168-6496,,2011,July,FEMS MICROBIOLOGY ECOLOGY,1,77,120-133
WOS:000256059800037,Virus population dynamics and acquired virus resistance in natural microbial communities,"Andersson,Anders F.|Banfield,Jillian F.",10.1126/science.1157358,18497291,1095-9203,0036-8075,,2008,May,SCIENCE,5879,320,1047-1050
WOS:000349208000014,Cancer-Associated Protein Kinase C Mutations Reveal Kinase's Role as Tumor Suppressor,"Antal,Corina E.|Hudson,Andrew M.|Kang,Emily|Zanca,Ciro|Wirth,Christopher|Stephenson,Natalie L.|Trotter,Eleanor W.|Gallegos,Lisa L.|Miller,Crispin J.|Fumari,Frank B.|Hunter,Tony|Brognard,John|Newton,Alexandra C.",10.1016/j.cell.2015.01.001,25619690,1097-4172,0092-8674,,2015,January,CELL,3,160,489-502
WOS:000337956100013,Visualization of specific DNA sequences in living mouse embryonic stem cells with a programmable fluorescent CRISPR/Cas system,"Anton,Tobias|Bultmann,Sebastian|Leonhardt,Heinrich|Markaki,Yolanda",10.4161/nucl.28488,24637835,1949-1042,1949-1034,,2014,MAR-APR,NUCLEUS,2,5,163-172
WOS:000501599200056,Search-and-replace genome editing without double-strand breaks or donor DNA,"Anzalone,Andrew V.|Randolph,Peyton B.|Davis,Jessie R.|Sousa,Alexander A.|Koblan,Luke W.|Levy,Jonathan M.|Chen,Peter J.|Wilson,Christopher|Newby,Gregory A.|Raguram,Aditya|Liu,David R.",10.1038/s41586-019-1711-4,31634902,1476-4687,0028-0836,,2019,December,NATURE,7785,576,149+
WOS:000404192900001,Stem cell models of Alzheimer's disease: progress and challenges,"Arber,Charles|Lovejoy,Christopher|Wray,Selina",10.1186/s13195-017-0268-4,28610595,,1758-9193,,2017,June,ALZHEIMERS RESEARCH \& THERAPY,,9,
WOS:000344373300003,Efficient Marker-Free Recovery of Custom Genetic Modifications with CRISPR/Cas9 in Caenorhabditis elegans,"Arribere,Joshua A.|Bell,Ryan T.|Fu,Becky X. H.|Artiles,Karen L.|Hartman,Phil S.|Fire,Andrew Z.",10.1534/genetics.114.169730,25161212,1943-2631,0016-6731,,2014,November,GENETICS,3,198,837-U842
WOS:000350564200018,An Inducible Lentiviral Guide RNA Platform Enables the Identification of Tumor-Essential Genes and Tumor-Promoting Mutations In Vivo,"Aubrey,Brandon J.|Kelly,Gemma L.|Kueh,Andrew J.|Brennan,Margs S.|O'Connor,Liam|Milla,Liz|Wilcox,Stephen|Tai,Lin|Strasser,Andreas|Herold,Marco J.",10.1016/j.celrep.2015.02.002,25732831,,2211-1247,,2015,March,CELL REPORTS,8,10,1422-1432
WOS:000329163500014,Highly efficient CRISPR/Cas9-mediated knock-in in zebrafish by homology-independent DNA repair,"Auer,Thomas O.|Duroure,Karine|Cian,Anne|Concordet,Jean-Paul|Bene,Filippo",10.1101/gr.161638.113,24179142,1549-5469,1088-9051,,2014,January,GENOME RESEARCH,1,24,142-153
